Problema,Algoritmo,M (Objetivos),N (Variáveis),Semente,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
DTLZ3,MEAMT-ENXUTO,7,16,4,1.3386712118450008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,5,1.342256851309001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,6,1.335553264485001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,7,1.3379112121760008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,8,1.337599417440001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,9,1.340873262168001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,10,1.3419840309150008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,11,1.339314288488001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,12,1.337813776321001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,13,1.3394312115140008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,14,1.338534801648001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,15,1.331129676668001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,16,1.339996339473001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,17,1.335494802972001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,18,1.340483518748001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,19,1.336254802641001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,20,1.339626083224001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,21,1.339801467763001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,22,1.3383399299380008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,23,1.3382814684250008,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,24,1.340503005919001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,25,1.338983006581001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,26,1.338106083886001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,27,1.336118392444001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,28,1.332941983571001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,29,1.340736851971001,0.1754839580183466,10.113523456745959,,
DTLZ3,MEAMT-ENXUTO,7,16,30,1.3394312115140008,0.1754839580183466,10.113523456745959,,
DTLZ3,MOEAD,7,16,1,0.0,16.156554623526045,7.069435816978174,,
DTLZ3,MOEAD,7,16,2,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,3,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,4,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,5,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,6,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,7,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,8,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,9,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,10,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,11,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,12,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,13,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,14,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,15,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,16,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,17,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,18,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,19,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,20,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,21,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,22,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,23,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,24,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,25,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,26,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,27,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,28,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,29,0.0,9.607516753883097,1.793567269022999,,
DTLZ3,MOEAD,7,16,30,0.0,9.607516753883097,1.793567269022999,,
DPF2,MEAMT,3,22,1,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,2,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,3,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,4,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,5,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,6,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,7,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,8,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,9,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,10,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,11,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,12,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,13,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,14,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,15,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,16,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,17,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,18,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,19,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,20,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,21,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,22,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,23,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,24,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,25,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,26,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,27,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,28,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,29,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,MEAMT,3,22,30,0.353502833769257,0.17872799111926443,0.05865422365725019,,
DPF2,NSGA3,3,22,1,0.4696531762641774,0.008708724182048608,0.217342784986605,,
DPF2,NSGA3,3,22,2,0.4696440202180726,0.008707701111943376,0.21590611592710357,,
DPF2,NSGA3,3,22,3,0.4696306819605588,0.008706128769092684,0.2175132852478652,,
DPF2,NSGA3,3,22,4,0.4696514810754479,0.00871033336824235,0.21779270350117705,,
DPF2,NSGA3,3,22,5,0.46962407619399527,0.008714101657647058,0.21677963347872833,,
DPF2,NSGA3,3,22,6,0.4696499174077279,0.008707818375994679,0.2170283318944468,,
DPF2,NSGA3,3,22,7,0.46964649200807895,0.008712404754543619,0.21672561454470457,,
DPF2,NSGA3,3,22,8,0.46965378380735723,0.008713609441501412,0.21751413078818915,,
DPF2,NSGA3,3,22,9,0.4696476167742272,0.008710360947190937,0.2174594735127194,,
DPF2,NSGA3,3,22,10,0.4696469587797754,0.008713214974800595,0.216946413731719,,
DPF2,NSGA3,3,22,11,0.4696375751643773,0.008700051394306635,0.21636303777071372,,
DPF2,NSGA3,3,22,12,0.4696179178939287,0.008715437555390879,0.21839927953742017,,
DPF2,NSGA3,3,22,13,0.46961518508485023,0.008721020807987763,0.21746087082127552,,
DPF2,NSGA3,3,22,14,0.4696447086690096,0.008701781476661199,0.2177485297992535,,
DPF2,NSGA3,3,22,15,0.46963556694404784,0.008714862887679762,0.21688128222468153,,
DPF2,NSGA3,3,22,16,0.4696472745750778,0.008709999518526837,0.2181893288676346,,
DPF2,NSGA3,3,22,17,0.46964953751927835,0.008705013573676468,0.21726217191929134,,
DPF2,NSGA3,3,22,18,0.46963227985932976,0.008716341947343099,0.21502835322194247,,
DPF2,NSGA3,3,22,19,0.46960554406890836,0.008779624658725569,0.21506097384571446,,
DPF2,NSGA3,3,22,20,0.46964264541331013,0.008717210037868465,0.2169831375785446,,
DPF2,NSGA3,3,22,21,0.4696572075384448,0.008708170081726838,0.2175951504690703,,
DPF2,NSGA3,3,22,22,0.4696417176748271,0.008707695198644616,0.2167455641535353,,
DPF2,NSGA3,3,22,23,0.46965817938647003,0.00872425594496678,0.21814270172884376,,
DPF2,NSGA3,3,22,24,0.4696517771554449,0.008708561482028322,0.21764726199974843,,
DPF2,NSGA3,3,22,25,0.46960750662246453,0.00872698283904298,0.21925126672304973,,
DPF2,NSGA3,3,22,26,0.46964414652622066,0.008701778110159946,0.21722074718226403,,
DPF2,NSGA3,3,22,27,0.4696441982407644,0.008708952016595958,0.21635369630434728,,
DPF2,NSGA3,3,22,28,0.46964133704992583,0.008711517383126727,0.21644032254874407,,
DPF2,NSGA3,3,22,29,0.4696448868526408,0.008715519248701911,0.2157499627863016,,
DPF2,NSGA3,3,22,30,0.46963527058251,0.008708170728094952,0.21900050402957033,,
DPF2,MOEAD,3,22,1,0.19752731243202878,0.3226840858421838,0.005621370968922406,,
DPF2,MOEAD,3,22,2,0.29503159693622977,0.2440108023401831,0.06297140719338454,,
DPF2,MOEAD,3,22,3,0.29502565437338396,0.24401664883030197,0.06298544675494126,,
DPF2,MOEAD,3,22,4,0.29506223615946336,0.24397539791766018,0.06294838255373206,,
DPF2,MOEAD,3,22,5,0.2949981539263431,0.24400096037578942,0.06302519494987284,,
DPF2,MOEAD,3,22,6,0.2950193597828136,0.24402358613803912,0.0629924192775517,,
DPF2,MOEAD,3,22,7,0.29499945936716987,0.24404681743637308,0.06301870945402317,,
DPF2,MOEAD,3,22,8,0.2946092508504535,0.24447216282843426,0.06348916384216342,,
DPF2,MOEAD,3,22,9,0.2949513933922825,0.24409729935579896,0.06318986894738599,,
DPF2,MOEAD,3,22,10,0.2950114988425402,0.24403146391473263,0.06301566032642239,,
DPF2,MOEAD,3,22,11,0.2949997412343718,0.24404849587492738,0.06297786327142593,,
DPF2,MOEAD,3,22,12,0.29501236808218056,0.24403322230158225,0.06297481452782551,,
DPF2,MOEAD,3,22,13,0.29507450509500055,0.24396378665427607,0.06290666668390592,,
DPF2,MOEAD,3,22,14,0.29495208781189547,0.24410453539321883,0.0629729146088979,,
DPF2,MOEAD,3,22,15,0.29505234899952715,0.24398830696111906,0.0629261299005973,,
DPF2,MOEAD,3,22,16,0.2949459382993946,0.24410305276554242,0.0630903501086374,,
DPF2,MOEAD,3,22,17,0.29501019727867217,0.24403343291946947,0.06301358318038948,,
DPF2,MOEAD,3,22,18,0.29504720059320555,0.2439945972701369,0.06292408924088251,,
DPF2,MOEAD,3,22,19,0.2949985336293983,0.24404989792655105,0.06298159574234727,,
DPF2,MOEAD,3,22,20,0.2948829728153996,0.24417706185062665,0.06313802959506525,,
DPF2,MOEAD,3,22,21,0.29504373365192305,0.24399968277330528,0.06290206577016473,,
DPF2,MOEAD,3,22,22,0.29470002998077216,0.24437335580259797,0.06337858537596644,,
DPF2,MOEAD,3,22,23,0.295042029255401,0.2439992450385423,0.06306176016534755,,
DPF2,MOEAD,3,22,24,0.2949245918870794,0.2441278397183937,0.06321111241397703,,
DPF2,MOEAD,3,22,25,0.29501424576636903,0.2440287530972239,0.06300857502684387,,
DPF2,MOEAD,3,22,26,0.29498367109918916,0.2440687532681009,0.06296886851855443,,
DPF2,MOEAD,3,22,27,0.29499250484447037,0.24405640186976454,0.0629982640722508,,
DPF2,MOEAD,3,22,28,0.29503177109090345,0.2440109951687547,0.06296962131114033,,
DPF2,MOEAD,3,22,29,0.2950465778704747,0.24399416015561232,0.06306048370438522,,
DPF2,MOEAD,3,22,30,0.29496294737051604,0.24408616297938665,0.06316804486936733,,
DPF2,NSGA2deap,3,22,1,0.4834081716389388,0.0005616466847918525,0.012292424720642337,,
DPF2,NSGA2deap,3,22,2,0.4834062641499821,0.0005657703529959409,0.010913545952648325,,
DPF2,NSGA2deap,3,22,3,0.4834374335457212,0.000543317708609049,0.01366218595436473,,
DPF2,NSGA2deap,3,22,4,0.4834306597390583,0.0005595922648577368,0.012850994522326733,,
DPF2,NSGA2deap,3,22,5,0.483449196196268,0.0005200465736274251,0.011815867653128437,,
DPF2,NSGA2deap,3,22,6,0.48343995096979975,0.000545941525533942,0.01277318203918572,,
DPF2,NSGA2deap,3,22,7,0.483420392501434,0.0005494812876556817,0.012623839325928705,,
DPF2,NSGA2deap,3,22,8,0.48336433285517943,0.0005530708805565547,0.0132184818677382,,
DPF2,NSGA2deap,3,22,9,0.48343179424370636,0.0005564293957327939,0.012515300182542523,,
DPF2,NSGA2deap,3,22,10,0.4834347424808184,0.0005095201364629185,0.013413616482818368,,
DPF2,NSGA2deap,3,22,11,0.4833996830768418,0.0005818881114695534,0.012833679042872614,,
DPF2,NSGA2deap,3,22,12,0.48339440837371433,0.0005759609342516812,0.012043353990800003,,
DPF2,NSGA2deap,3,22,13,0.4834354238695894,0.0005399889250467372,0.014955801144463923,,
DPF2,NSGA2deap,3,22,14,0.48340309806764825,0.0005680321827789257,0.013904124378160824,,
DPF2,NSGA2deap,3,22,15,0.4834348066134282,0.0005432063623052271,0.012382496597266104,,
DPF2,NSGA2deap,3,22,16,0.4834224352414872,0.0005629302358319821,0.013446869736195159,,
DPF2,NSGA2deap,3,22,17,0.48345306449055625,0.0005441111234297959,0.013350597325105256,,
DPF2,NSGA2deap,3,22,18,0.48342186718426583,0.0005450123873557251,0.011692059503057494,,
DPF2,NSGA2deap,3,22,19,0.4834118863725596,0.0005660058149437308,0.012621271159636387,,
DPF2,NSGA2deap,3,22,20,0.4834157652601462,0.0006118220678303587,0.013742903098046247,,
DPF2,NSGA2deap,3,22,21,0.4834126717270431,0.0005883179274044129,0.012971929402631475,,
DPF2,NSGA2deap,3,22,22,0.4834378560920385,0.0005453117746340402,0.012967222526094153,,
DPF2,NSGA2deap,3,22,23,0.4834340308091264,0.000554146281188371,0.012147169814823038,,
DPF2,NSGA2deap,3,22,24,0.48341983305738034,0.0005682774415831374,0.012858562626995763,,
DPF2,NSGA2deap,3,22,25,0.48341187919290834,0.0005549057839495529,0.0132500702504222,,
DPF2,NSGA2deap,3,22,26,0.48347297922830046,0.0005532147651828523,0.012937530090949823,,
DPF2,NSGA2deap,3,22,27,0.48341511707115237,0.0005456690510530775,0.012912640808521456,,
DPF2,NSGA2deap,3,22,28,0.48345619235654314,0.000541001145333436,0.011657739863768132,,
DPF2,NSGA2deap,3,22,29,0.4834481670242048,0.0005431775363805338,0.012645478703439648,,
DPF2,NSGA2deap,3,22,30,0.4834199608942056,0.0005493129852107429,0.012616875970252345,,
DPF2,MEAMT-ENXUTO,3,22,1,0.3568313058250835,0.18808167392172012,0.07926930536447296,,
DPF2,MEAMT-ENXUTO,3,22,2,0.38309524759437563,0.1368768594003956,0.06986861839922734,,
DPF2,MEAMT-ENXUTO,3,22,3,0.3777246126635243,0.1420702773664665,0.04441207523279308,,
DPF2,MEAMT-ENXUTO,3,22,4,0.37546164043183444,0.14042263677811448,0.0899009338433079,,
DPF2,MEAMT-ENXUTO,3,22,5,0.3426894573118235,0.1904676718388703,0.04455165184566114,,
DPF2,MEAMT-ENXUTO,3,22,6,0.3952344223967635,0.10099742623438808,0.11044522253710513,,
DPF2,MEAMT-ENXUTO,3,22,7,0.4050529407362686,0.10697429610488632,0.06016128408612221,,
DPF2,MEAMT-ENXUTO,3,22,8,0.3798147568064173,0.1413498266002162,0.05964430315043238,,
DPF2,MEAMT-ENXUTO,3,22,9,0.3732318206960996,0.14577737116009157,0.12159541303349526,,
DPF2,MEAMT-ENXUTO,3,22,10,0.35381181317788934,0.17511773220461915,0.12093360494800731,,
DPF2,MEAMT-ENXUTO,3,22,11,0.36423998936403923,0.1665640863457477,0.03384325483775305,,
DPF2,MEAMT-ENXUTO,3,22,12,0.3542223730831175,0.16408602981672377,0.03672443174077177,,
DPF2,MEAMT-ENXUTO,3,22,13,0.3743305042571289,0.13528734004135365,0.10981161956062849,,
DPF2,MEAMT-ENXUTO,3,22,14,0.39319255697697986,0.10654160330647665,0.05913420028180789,,
DPF2,MEAMT-ENXUTO,3,22,15,0.37040357387481515,0.14800415135866413,0.09979007186516317,,
DPF2,MEAMT-ENXUTO,3,22,16,0.3700031543538053,0.12135684066761125,0.1030856324369122,,
DPF2,MEAMT-ENXUTO,3,22,17,0.39797717195173543,0.07697548282922685,0.08413961950101755,,
DPF2,MEAMT-ENXUTO,3,22,18,0.3769892636761827,0.14626184195032904,0.08114457449376689,,
DPF2,MEAMT-ENXUTO,3,22,19,0.3747491605013856,0.14779846936663846,0.09821628031255157,,
DPF2,MEAMT-ENXUTO,3,22,20,0.37694701700097655,0.1382160295818747,0.08175533051860132,,
DPF2,MEAMT-ENXUTO,3,22,21,0.4267165093088985,0.05489861317906901,0.10665280558053213,,
DPF2,MEAMT-ENXUTO,3,22,22,0.37110120669157964,0.15625348277750062,0.0867504929579364,,
DPF2,MEAMT-ENXUTO,3,22,23,0.4234825885321872,0.07512083772256956,0.09079276337999101,,
DPF2,MEAMT-ENXUTO,3,22,24,0.3782515285915916,0.12751062624126383,0.07979964320561216,,
DPF2,MEAMT-ENXUTO,3,22,25,0.3495655286190923,0.18314188668774742,0.03099475774992953,,
