Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.3878 \pm 0.0021$,$0.0026 \pm 0.0000$,$0.0300 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.3960 \pm 0.0026$,$0.0007 \pm 0.0000$,$0.0078 \pm 0.0000$,-,-
MOEAD,$1.2995 \pm 0.0135$,$0.0929 \pm 0.0082$,$0.0240 \pm 0.0011$,-,-
NSGA2deap,$1.4050 \pm 0.0023$,$0.0002 \pm 0.0000$,$0.0038 \pm 0.0002$,-,-
NSGA3,$1.3107 \pm 0.0028$,$0.0077 \pm 0.0000$,$0.2567 \pm 0.0000$,-,-
