Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.6000 \pm 0.0027$,$0.0139 \pm 0.0000$,$78927.3911 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.0000 \pm 0.0000$,$24.9551 \pm 0.0000$,$15.5836 \pm 0.0000$,-,-
MOEAD,$0.0000 \pm 0.0000$,$193.7174 \pm 6.9314$,$4.9078 \pm 0.7843$,-,-
NSGA2deap,$1.6861 \pm 0.0024$,$0.0006 \pm 0.0001$,$0.0050 \pm 0.0003$,-,-
NSGA3,$0.0000 \pm 0.0000$,$9.5308 \pm 0.0000$,$10.1775 \pm 0.0000$,-,-
