Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.7897 \pm 0.0000$,$0.0336 \pm 0.0000$,$5.5368 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.8205 \pm 0.0370$,$0.0232 \pm 0.0183$,$7.5945 \pm 6.3326$,-,-
MOEAD,$0.0000 \pm 0.0000$,$8.2453 \pm 3.6657$,$0.1098 \pm 0.0804$,-,-
NSGA2deap,$0.8766 \pm 0.0008$,$0.0012 \pm 0.0003$,$0.0016 \pm 0.0001$,-,-
NSGA3,$0.0337 \pm 0.1565$,$1.6195 \pm 0.8517$,$0.1250 \pm 0.0553$,-,-
