Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.9619 \pm 0.0000$,$0.0015 \pm 0.0000$,$0.0266 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.9691 \pm 0.0014$,$0.0005 \pm 0.0001$,$0.0080 \pm 0.0109$,-,-
MOEAD,$0.9368 \pm 0.0043$,$0.0030 \pm 0.0032$,$0.0251 \pm 0.0152$,-,-
NSGA2deap,$0.9727 \pm 0.0001$,$0.0002 \pm 0.0000$,$0.0024 \pm 0.0001$,-,-
NSGA3,$0.9590 \pm 0.0001$,$0.0037 \pm 0.0001$,$0.0401 \pm 0.0030$,-,-
