Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.4014 \pm 0.0000$,$0.0208 \pm 0.0000$,$0.0509 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.0131 \pm 0.0249$,$0.5112 \pm 0.7662$,$0.0092 \pm 0.0316$,-,-
MOEAD,-,$0.0000 \pm 0.0000$,$0.0000 \pm 0.0000$,-,-
NSGA2deap,$1.4650 \pm 0.0006$,$0.0012 \pm 0.0002$,$0.0039 \pm 0.0001$,-,-
NSGA3,$0.1273 \pm 0.1924$,$0.2918 \pm 0.6121$,$0.0426 \pm 0.1065$,-,-
