Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0543 \pm 0.0000$,$0.0883 \pm 0.0000$,$0.0284 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.0949 \pm 0.0278$,$0.0566 \pm 0.0226$,$0.0388 \pm 0.0085$,-,-
MOEAD,$1.1444 \pm 0.0000$,$0.0123 \pm 0.0000$,$0.0293 \pm 0.0000$,-,-
NSGA2deap,$1.1347 \pm 0.0015$,$0.0198 \pm 0.0004$,$0.0321 \pm 0.0016$,-,-
NSGA3,$1.1444 \pm 0.0000$,$0.0123 \pm 0.0000$,$0.0293 \pm 0.0000$,-,-
