Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1892 \pm 0.0026$,$0.0256 \pm 0.0000$,$0.0797 \pm 0.0000$,$0.9944 \pm 0.0000$,$0.0056 \pm 0.0000$
MEAMT-ENXUTO,$0.9359 \pm 0.0031$,$0.0842 \pm 0.0000$,$0.1632 \pm 0.0000$,$0.9300 \pm 0.0000$,$0.0700 \pm 0.0000$
MOEAD,$0.8664 \pm 0.0027$,$0.0737 \pm 0.0000$,$0.0390 \pm 0.0000$,$1.0000 \pm 0.0000$,$0.0000 \pm 0.0000$
NSGA2deap,$0.8550 \pm 0.0212$,$0.1012 \pm 0.0082$,$0.1796 \pm 0.0123$,$0.4081 \pm 0.0465$,$0.5919 \pm 0.0465$
NSGA3,$1.0060 \pm 0.0025$,$0.0479 \pm 0.0000$,$0.1230 \pm 0.0000$,$1.0000 \pm 0.0000$,$0.0000 \pm 0.0000$
