Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.8099 \pm 0.0013$,$0.1411 \pm 0.0000$,$9.7711 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.3382 \pm 0.0025$,$0.1755 \pm 0.0000$,$10.1135 \pm 0.0000$,-,-
MOEAD,$0.0000 \pm 0.0000$,$9.8258 \pm 1.1957$,$1.9694 \pm 0.9632$,-,-
NSGA2deap,$0.0000 \pm 0.0000$,$169.9505 \pm 60.3730$,$292.6820 \pm 18.6792$,-,-
NSGA3,$0.5707 \pm 0.0022$,$1.0401 \pm 0.0000$,$0.3256 \pm 0.0000$,-,-
