Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.5391 \pm 0.0000$,$0.0808 \pm 0.0000$,$0.0925 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.5218 \pm 0.0180$,$0.1089 \pm 0.0596$,$0.1624 \pm 0.0178$,-,-
MOEAD,$1.5054 \pm 0.0978$,$0.1541 \pm 0.1650$,$0.0927 \pm 0.0274$,-,-
NSGA2deap,$1.5307 \pm 0.0042$,$0.1113 \pm 0.0072$,$0.1716 \pm 0.0079$,-,-
NSGA3,$1.5686 \pm 0.0000$,$0.0487 \pm 0.0000$,$0.1097 \pm 0.0001$,-,-
