Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.3535 \pm 0.0000$,$0.1787 \pm 0.0000$,$0.0587 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.3789 \pm 0.0221$,$0.1353 \pm 0.0371$,$0.0790 \pm 0.0265$,-,-
MOEAD,$0.2917 \pm 0.0178$,$0.2467 \pm 0.0144$,$0.0611 \pm 0.0105$,-,-
NSGA2deap,$0.4834 \pm 0.0000$,$0.0006 \pm 0.0000$,$0.0128 \pm 0.0008$,-,-
NSGA3,$0.4696 \pm 0.0000$,$0.0087 \pm 0.0000$,$0.2172 \pm 0.0010$,-,-
