Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.9737 \pm 0.0000$,$0.0466 \pm 0.0000$,$0.0153 \pm 0.0000$,$0.0000 \pm 0.0000$,$1.0000 \pm 0.0000$
MEAMT-ENXUTO,$0.9927 \pm 0.0000$,$0.0628 \pm 0.0000$,$0.0154 \pm 0.0000$,$0.0000 \pm 0.0000$,$1.0000 \pm 0.0000$
MOEAD,$0.9027 \pm 0.0000$,$0.0537 \pm 0.0000$,$0.0084 \pm 0.0000$,$0.0000 \pm 0.0000$,$1.0000 \pm 0.0000$
NSGA2deap,$1.1288 \pm 0.0065$,$0.0098 \pm 0.0009$,$0.0160 \pm 0.0013$,$0.1744 \pm 0.0645$,$0.8256 \pm 0.0645$
NSGA3,$1.1122 \pm 0.0000$,$0.0131 \pm 0.0000$,$0.0149 \pm 0.0000$,$0.8995 \pm 0.0000$,$0.1005 \pm 0.0000$
