Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.1355 \pm 0.0017$,$0.0998 \pm 0.0000$,$0.0127 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.1205 \pm 0.0016$,$0.1109 \pm 0.0000$,$0.0185 \pm 0.0000$,-,-
MOEAD,-,$0.0000 \pm 0.0000$,$0.0000 \pm 0.0000$,-,-
NSGA2deap,$0.1783 \pm 0.0053$,$0.0359 \pm 0.0194$,$0.0027 \pm 0.0001$,-,-
NSGA3,-,$0.0000 \pm 0.0000$,$0.0000 \pm 0.0000$,-,-
