Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0408 \pm 0.0000$,$0.0485 \pm 0.0000$,$0.0176 \pm 0.0000$,$0.6078 \pm 0.0000$,$0.3922 \pm 0.0000$
MEAMT-ENXUTO,$1.0042 \pm 0.0000$,$0.0859 \pm 0.0000$,$0.0231 \pm 0.0000$,$0.2300 \pm 0.0000$,$0.7700 \pm 0.0000$
MOEAD,$0.9727 \pm 0.0000$,$0.0454 \pm 0.0000$,$0.0126 \pm 0.0000$,$0.8436 \pm 0.0000$,$0.1564 \pm 0.0000$
NSGA2deap,$1.1573 \pm 0.0046$,$0.0166 \pm 0.0012$,$0.0237 \pm 0.0010$,$0.3793 \pm 0.0447$,$0.6207 \pm 0.0447$
NSGA3,$1.1436 \pm 0.0000$,$0.0081 \pm 0.0000$,$0.0217 \pm 0.0000$,$0.7746 \pm 0.0000$,$0.2254 \pm 0.0000$
