Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0713 \pm 0.0000$,$0.0316 \pm 0.0000$,$0.0303 \pm 0.0000$,$0.8412 \pm 0.0000$,$0.1588 \pm 0.0000$
MEAMT-ENXUTO,$0.9921 \pm 0.0000$,$0.0666 \pm 0.0000$,$0.0288 \pm 0.0000$,$0.8883 \pm 0.0000$,$0.1117 \pm 0.0000$
MOEAD,$0.9961 \pm 0.0000$,$0.0288 \pm 0.0000$,$0.0143 \pm 0.0000$,$0.3878 \pm 0.0000$,$0.6122 \pm 0.0000$
NSGA2deap,$1.1352 \pm 0.0016$,$0.0107 \pm 0.0011$,$0.0319 \pm 0.0015$,$0.6873 \pm 0.0323$,$0.3127 \pm 0.0323$
NSGA3,$1.1356 \pm 0.0000$,$0.0058 \pm 0.0000$,$0.0284 \pm 0.0000$,$0.9301 \pm 0.0000$,$0.0699 \pm 0.0000$
