Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1668 \pm 0.0000$,$0.0728 \pm 0.0000$,$6.5065 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.2423 \pm 0.0178$,$0.0177 \pm 0.0045$,$4.6725 \pm 3.6636$,-,-
MOEAD,$1.2612 \pm 0.0017$,$0.0081 \pm 0.0017$,$0.0016 \pm 0.0031$,-,-
NSGA2deap,$1.2559 \pm 0.0006$,$0.0098 \pm 0.0002$,$0.0129 \pm 0.0004$,-,-
NSGA3,$1.2616 \pm 0.0000$,$0.0076 \pm 0.0000$,$0.0010 \pm 0.0000$,-,-
