Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.2013 \pm 0.0000$,$0.0062 \pm 0.0000$,$0.0198 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.0873 \pm 0.2201$,$0.0720 \pm 0.1366$,$0.0083 \pm 0.0045$,-,-
MOEAD,-,$0.0000 \pm 0.0000$,$0.0000 \pm 0.0000$,-,-
NSGA2deap,$1.2125 \pm 0.0003$,$0.0010 \pm 0.0001$,$0.0034 \pm 0.0001$,-,-
NSGA3,$0.3316 \pm 0.4043$,$0.3377 \pm 0.4504$,$0.0329 \pm 0.0437$,-,-
