Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.3281 \pm 0.0000$,$0.1697 \pm 0.0000$,$0.1170 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.3289 \pm 0.0203$,$0.1727 \pm 0.0337$,$0.1835 \pm 0.0873$,-,-
MOEAD,$0.2619 \pm 0.0110$,$0.3078 \pm 0.0062$,$0.0411 \pm 0.0072$,-,-
NSGA2deap,$0.4203 \pm 0.0001$,$0.0007 \pm 0.0000$,$0.0293 \pm 0.0020$,-,-
NSGA3,$0.3587 \pm 0.0020$,$0.0953 \pm 0.0032$,$1.7856 \pm 0.4030$,-,-
