Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.4851 \pm 0.0000$,$0.1350 \pm 0.0000$,$0.0278 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.4721 \pm 0.0547$,$0.1210 \pm 0.0177$,$0.0833 \pm 0.0282$,-,-
MOEAD,$1.5685 \pm 0.0000$,$0.0487 \pm 0.0000$,$0.1098 \pm 0.0000$,-,-
NSGA2deap,$1.4786 \pm 0.0194$,$0.1465 \pm 0.0166$,$0.2046 \pm 0.0128$,-,-
NSGA3,$1.5685 \pm 0.0000$,$0.0487 \pm 0.0000$,$0.1098 \pm 0.0000$,-,-
