Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0764 \pm 0.0000$,$0.0665 \pm 0.0000$,$0.0360 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.0137 \pm 0.0587$,$0.0862 \pm 0.0394$,$0.0358 \pm 0.0086$,-,-
MOEAD,$1.1161 \pm 0.0000$,$0.0098 \pm 0.0000$,$0.0474 \pm 0.0001$,-,-
NSGA2deap,$1.1087 \pm 0.0015$,$0.0090 \pm 0.0004$,$0.0314 \pm 0.0027$,-,-
NSGA3,$1.1140 \pm 0.0001$,$0.0106 \pm 0.0001$,$0.0278 \pm 0.0002$,-,-
