Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0335 \pm 0.0000$,$0.0338 \pm 0.0000$,$0.0294 \pm 0.0000$,$0.5222 \pm 0.0000$,$0.4778 \pm 0.0000$
MEAMT-ENXUTO,$0.9759 \pm 0.0000$,$0.0569 \pm 0.0000$,$0.0601 \pm 0.0000$,$0.4662 \pm 0.0000$,$0.5337 \pm 0.0000$
MOEAD,$0.6360 \pm 0.0000$,$0.1068 \pm 0.0000$,$0.0105 \pm 0.0000$,$0.0000 \pm 0.0000$,$1.0000 \pm 0.0000$
NSGA2deap,$0.9666 \pm 0.0187$,$0.0463 \pm 0.0047$,$0.0659 \pm 0.0035$,$0.1476 \pm 0.0333$,$0.8524 \pm 0.0333$
NSGA3,$1.0590 \pm 0.0000$,$0.0305 \pm 0.0000$,$0.0368 \pm 0.0000$,$0.5714 \pm 0.0000$,$0.4286 \pm 0.0000$
