Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1463 \pm 0.0000$,$0.0244 \pm 0.0000$,$0.0502 \pm 0.0000$,$0.9263 \pm 0.0000$,$0.0737 \pm 0.0000$
MEAMT-ENXUTO,$1.0705 \pm 0.0000$,$0.0472 \pm 0.0000$,$0.0696 \pm 0.0000$,$0.9250 \pm 0.0000$,$0.0750 \pm 0.0000$
MOEAD,$0.7497 \pm 0.0000$,$0.0954 \pm 0.0000$,$0.0098 \pm 0.0000$,$0.0638 \pm 0.0000$,$0.9362 \pm 0.0000$
NSGA2deap,$1.0612 \pm 0.0155$,$0.0389 \pm 0.0038$,$0.0748 \pm 0.0035$,$0.2932 \pm 0.0523$,$0.7068 \pm 0.0523$
NSGA3,$1.1086 \pm 0.0000$,$0.0263 \pm 0.0000$,$0.0563 \pm 0.0000$,$0.9936 \pm 0.0000$,$0.0064 \pm 0.0000$
