Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.2627 \pm 0.0026$,$0.0234 \pm 0.0000$,$0.0573 \pm 0.0000$,$0.9907 \pm 0.0000$,$0.0093 \pm 0.0000$
MEAMT-ENXUTO,$1.0653 \pm 0.0027$,$0.0613 \pm 0.0000$,$0.1275 \pm 0.0000$,$0.9230 \pm 0.0000$,$0.0770 \pm 0.0000$
MOEAD,$0.7416 \pm 0.0029$,$0.1173 \pm 0.0000$,$0.0181 \pm 0.0000$,$0.7733 \pm 0.0000$,$0.2267 \pm 0.0000$
NSGA2deap,$0.9881 \pm 0.0248$,$0.0788 \pm 0.0090$,$0.1419 \pm 0.0104$,$0.2871 \pm 0.0625$,$0.7129 \pm 0.0625$
NSGA3,$1.0719 \pm 0.0028$,$0.0553 \pm 0.0000$,$0.0831 \pm 0.0000$,$0.9802 \pm 0.0000$,$0.0198 \pm 0.0000$
