Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1293 \pm 0.0000$,$0.0449 \pm 0.0000$,$0.0549 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.1469 \pm 0.0021$,$0.0263 \pm 0.0022$,$0.0494 \pm 0.0061$,-,-
MOEAD,$1.1069 \pm 0.0957$,$0.0612 \pm 0.0995$,$0.0238 \pm 0.0115$,-,-
NSGA2deap,$1.1519 \pm 0.0011$,$0.0192 \pm 0.0007$,$0.0318 \pm 0.0014$,-,-
NSGA3,$1.1593 \pm 0.0000$,$0.0123 \pm 0.0000$,$0.0293 \pm 0.0000$,-,-
