Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.5398 \pm 0.0000$,$0.1354 \pm 0.0000$,$6.4691 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.0352 \pm 0.1930$,$3.5963 \pm 2.4268$,$7.9500 \pm 2.3312$,-,-
MOEAD,$1.5955 \pm 0.0391$,$0.0410 \pm 0.0402$,$0.0102 \pm 0.0111$,-,-
NSGA2deap,$0.0714 \pm 0.2778$,$2.1433 \pm 2.1659$,$11.1631 \pm 3.3333$,-,-
NSGA3,$1.5973 \pm 0.0314$,$0.0391 \pm 0.0326$,$0.0081 \pm 0.0029$,-,-
