Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.9337 \pm 0.0000$,$0.0187 \pm 0.0000$,$5.8639 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.9359 \pm 0.0325$,$0.0181 \pm 0.0141$,$3.7934 \pm 3.8196$,-,-
MOEAD,$0.0000 \pm 0.0000$,$15.3359 \pm 4.8331$,$0.1854 \pm 0.1360$,-,-
NSGA2deap,$0.9742 \pm 0.0025$,$0.0019 \pm 0.0006$,$0.0021 \pm 0.0001$,-,-
NSGA3,$0.0002 \pm 0.0012$,$2.8383 \pm 1.3424$,$0.9452 \pm 0.3810$,-,-
