Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.6606 \pm 0.0025$,$0.1364 \pm 0.0000$,$2.2386 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.0000 \pm 0.0000$,$1.7291 \pm 0.0000$,$6.7250 \pm 0.0000$,-,-
MOEAD,$1.9211 \pm 0.0142$,$0.0488 \pm 0.0124$,$0.0221 \pm 0.0082$,-,-
NSGA2deap,$0.0000 \pm 0.0000$,$14.7493 \pm 9.4170$,$44.6206 \pm 3.1367$,-,-
NSGA3,$1.9249 \pm 0.0008$,$0.0491 \pm 0.0000$,$0.0190 \pm 0.0000$,-,-
