Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.0148 \pm 0.0025$,$0.0237 \pm 0.0000$,$0.0523 \pm 0.0000$,$0.9893 \pm 0.0000$,$0.0107 \pm 0.0000$
MEAMT-ENXUTO,$0.8013 \pm 0.0032$,$0.0857 \pm 0.0000$,$0.1182 \pm 0.0000$,$0.9440 \pm 0.0000$,$0.0560 \pm 0.0000$
MOEAD,$0.6327 \pm 0.0034$,$0.0992 \pm 0.0000$,$0.0150 \pm 0.0000$,$1.0000 \pm 0.0000$,$0.0000 \pm 0.0000$
NSGA2deap,$0.7515 \pm 0.0276$,$0.0897 \pm 0.0107$,$0.1303 \pm 0.0061$,$0.3587 \pm 0.0824$,$0.6413 \pm 0.0824$
NSGA3,$0.8472 \pm 0.0028$,$0.0543 \pm 0.0000$,$0.0781 \pm 0.0000$,$0.9623 \pm 0.0000$,$0.0377 \pm 0.0000$
