Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$0.1707 \pm 0.0019$,$0.2171 \pm 0.0000$,$0.1606 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.1731 \pm 0.0019$,$0.2284 \pm 0.0000$,$0.2267 \pm 0.0000$,-,-
MOEAD,$0.1390 \pm 0.0045$,$0.3987 \pm 0.0035$,$0.0164 \pm 0.0028$,-,-
NSGA2deap,$0.2220 \pm 0.0019$,$0.0009 \pm 0.0001$,$0.0340 \pm 0.0018$,-,-
NSGA3,$0.1708 \pm 0.0021$,$0.0833 \pm 0.0000$,$2.0836 \pm 0.0000$,-,-
