Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.8647 \pm 0.0011$,$0.1387 \pm 0.0000$,$0.0249 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.6844 \pm 0.0019$,$0.1421 \pm 0.0000$,$0.0462 \pm 0.0000$,-,-
MOEAD,$1.9326 \pm 0.0004$,$0.0706 \pm 0.0000$,$0.1623 \pm 0.0000$,-,-
NSGA2deap,$0.1959 \pm 0.2527$,$0.9335 \pm 0.2755$,$0.6736 \pm 0.0374$,-,-
NSGA3,$1.9326 \pm 0.0005$,$0.0707 \pm 0.0000$,$0.1623 \pm 0.0000$,-,-
