Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1986 \pm 0.0000$,$0.0237 \pm 0.0000$,$0.0656 \pm 0.0000$,$0.6106 \pm 0.0000$,$0.3894 \pm 0.0000$
MEAMT-ENXUTO,$1.0847 \pm 0.0000$,$0.0567 \pm 0.0000$,$0.0785 \pm 0.0000$,$0.3625 \pm 0.0000$,$0.6375 \pm 0.0000$
MOEAD,$1.0319 \pm 0.0000$,$0.0442 \pm 0.0000$,$0.0606 \pm 0.0000$,$0.5946 \pm 0.0000$,$0.4054 \pm 0.0000$
NSGA2deap,$1.1022 \pm 0.0156$,$0.0589 \pm 0.0051$,$0.1028 \pm 0.0061$,$0.2439 \pm 0.0439$,$0.7561 \pm 0.0439$
NSGA3,$1.1723 \pm 0.0000$,$0.0286 \pm 0.0000$,$0.0864 \pm 0.0000$,$0.6777 \pm 0.0000$,$0.3223 \pm 0.0000$
