Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.6105 \pm 0.0000$,$0.0000 \pm 0.0000$,$0.0129 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.4206 \pm 0.2951$,$0.0276 \pm 0.0432$,$0.0302 \pm 0.0130$,-,-
MOEAD,$1.6105 \pm 0.0000$,$0.0000 \pm 0.0000$,$0.0000 \pm 0.0000$,-,-
NSGA2deap,$1.6100 \pm 0.0015$,$0.0000 \pm 0.0001$,$0.0241 \pm 0.0152$,-,-
NSGA3,$1.6081 \pm 0.0046$,$0.0000 \pm 0.0000$,$0.1562 \pm 0.1308$,-,-
