Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.9037 \pm 0.0010$,$0.1199 \pm 0.0000$,$0.0881 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.7459 \pm 0.0016$,$0.4642 \pm 0.0000$,$0.1830 \pm 0.0000$,-,-
MOEAD,$1.5834 \pm 0.0316$,$0.5169 \pm 0.0262$,$0.0492 \pm 0.0037$,-,-
NSGA2deap,$0.0011 \pm 0.0037$,$1.2675 \pm 0.1925$,$0.6792 \pm 0.0332$,-,-
NSGA3,$1.9329 \pm 0.0006$,$0.0706 \pm 0.0000$,$0.1621 \pm 0.0000$,-,-
