Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.1366 \pm 0.0000$,$0.0031 \pm 0.0000$,$0.0155 \pm 0.0000$,-,-
MEAMT-ENXUTO,$1.1498 \pm 0.0010$,$0.0006 \pm 0.0001$,$0.0071 \pm 0.0023$,-,-
MOEAD,$1.0866 \pm 0.0032$,$0.0094 \pm 0.0052$,$0.0333 \pm 0.0189$,-,-
NSGA2deap,$1.1538 \pm 0.0002$,$0.0002 \pm 0.0000$,$0.0029 \pm 0.0002$,-,-
NSGA3,$1.0827 \pm 0.0000$,$0.0097 \pm 0.0013$,$0.0551 \pm 0.0011$,-,-
