Algoritmo,Hipervolume,IGDPlus,Spacing,Pareto Subset,Taxa de Erro
MEAMT,$1.4900 \pm 0.0000$,$0.1377 \pm 0.0000$,$15.9135 \pm 0.0000$,-,-
MEAMT-ENXUTO,$0.8978 \pm 0.4443$,$0.4839 \pm 0.7675$,$35.1653 \pm 12.2223$,-,-
MOEAD,$0.0652 \pm 0.2879$,$4.3957 \pm 2.9971$,$0.6796 \pm 0.3887$,-,-
NSGA2deap,$0.0000 \pm 0.0000$,$103.8771 \pm 50.4759$,$74.4558 \pm 8.6462$,-,-
NSGA3,$0.9150 \pm 0.6819$,$0.7843 \pm 0.9533$,$0.1935 \pm 0.1106$,-,-
